"associatedMedia","data_provider_category_HumanObservation","scientificName_HumanObservation","scientificNameID_HumanObservation","higherClassification_group","Abundance","Biovolume","volume_imaged","concentrationFlag","eventDate","decimalLatitude","decimalLongitude","depth","eventID"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T103729_IFCB102.html","Gyrodinium","Gyrodinium","urn:lsid:marinespecies.org:taxname:109476","Dinoflagellata",1,168887.793,3.991,0,2018-02-01 10:37:00,40.8413,-70.8868,5,"NESLTER_transect/D20180201T103729_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T103729_IFCB102.html","Katodinium or Torodinium","Dinophyceae","urn:lsid:marinespecies.org:taxname:19542","Dinoflagellata",2,9468.991,3.991,1,2018-02-01 10:37:00,40.8413,-70.8868,5,"NESLTER_transect/D20180201T103729_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T103729_IFCB102.html","Leptocylindrus","Leptocylindrus","urn:lsid:marinespecies.org:taxname:149038","Bacillariophyceae",18,176.055,3.991,1,2018-02-01 10:37:00,40.8413,-70.8868,5,"NESLTER_transect/D20180201T103729_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T103729_IFCB102.html","Phaeocystis","Phaeocystis","urn:lsid:marinespecies.org:taxname:115088","Haptophyta",32,20501.773,3.991,1,2018-02-01 10:37:00,40.8413,-70.8868,5,"NESLTER_transect/D20180201T103729_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T103729_IFCB102.html","Pleurosigma","Pleurosigma","urn:lsid:marinespecies.org:taxname:149181","Bacillariophyceae",4,42351.067,3.991,1,2018-02-01 10:37:00,40.8413,-70.8868,5,"NESLTER_transect/D20180201T103729_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T103729_IFCB102.html","Proterythropsis","Proterythropsis","urn:lsid:marinespecies.org:taxname:231794","Dinoflagellata",3,19600.453,3.991,1,2018-02-01 10:37:00,40.8413,-70.8868,5,"NESLTER_transect/D20180201T103729_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T103729_IFCB102.html","Pseudo-nitzschia","Pseudo-nitzschia","urn:lsid:marinespecies.org:taxname:149151","Bacillariophyceae",21,55146.021,3.991,1,2018-02-01 10:37:00,40.8413,-70.8868,5,"NESLTER_transect/D20180201T103729_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T103729_IFCB102.html","Pyramimonas","Pyramimonas","urn:lsid:marinespecies.org:taxname:134529","other than diatoms dinoflagellates or haptophytes",1,625.197,3.991,1,2018-02-01 10:37:00,40.8413,-70.8868,5,"NESLTER_transect/D20180201T103729_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T103729_IFCB102.html","Rhizosolenia","Rhizosolenia","urn:lsid:marinespecies.org:taxname:149069","Bacillariophyceae",56,398726.897,3.991,1,2018-02-01 10:37:00,40.8413,-70.8868,5,"NESLTER_transect/D20180201T103729_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T103729_IFCB102.html","Skeletonema","Skeletonema","urn:lsid:marinespecies.org:taxname:149073","Bacillariophyceae",1,3805.249,3.991,1,2018-02-01 10:37:00,40.8413,-70.8868,5,"NESLTER_transect/D20180201T103729_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T103729_IFCB102.html","Strombidium oculatum","Strombidium tintinnodes","urn:lsid:marinespecies.org:taxname:101337","other than diatoms dinoflagellates or haptophytes",1,8900.037,3.991,1,2018-02-01 10:37:00,40.8413,-70.8868,5,"NESLTER_transect/D20180201T103729_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T103729_IFCB102.html","Thalassiosira","Thalassiosira","urn:lsid:marinespecies.org:taxname:148912","Bacillariophyceae",27,543603.299,3.991,1,2018-02-01 10:37:00,40.8413,-70.8868,5,"NESLTER_transect/D20180201T103729_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T103729_IFCB102.html","bead","NotApplicable","NotApplicable","NotApplicable",60,26646.45,3.991,0,2018-02-01 10:37:00,40.8413,-70.8868,5,"NESLTER_transect/D20180201T103729_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T103729_IFCB102.html","ciliate","Spirotrichea","urn:lsid:marinespecies.org:taxname:1348","other than diatoms dinoflagellates or haptophytes",1,15315.473,3.991,0,2018-02-01 10:37:00,40.8413,-70.8868,5,"NESLTER_transect/D20180201T103729_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T103729_IFCB102.html","cryptophyta","Cryptophyta","urn:lsid:marinespecies.org:taxname:17638","other than diatoms dinoflagellates or haptophytes",1,165.864,3.991,0,2018-02-01 10:37:00,40.8413,-70.8868,5,"NESLTER_transect/D20180201T103729_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T103729_IFCB102.html","detritus","NotApplicable","NotApplicable","NotApplicable",250,339399.741,3.991,0,2018-02-01 10:37:00,40.8413,-70.8868,5,"NESLTER_transect/D20180201T103729_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T103729_IFCB102.html","flagellate","Eukaryota","urn:lsid:algaebase.org:taxname:86701","other than diatoms dinoflagellates or haptophytes",1,508.524,3.991,0,2018-02-01 10:37:00,40.8413,-70.8868,5,"NESLTER_transect/D20180201T103729_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T103729_IFCB102.html","mix","Eukaryota","urn:lsid:algaebase.org:taxname:86701","other than diatoms dinoflagellates or haptophytes",1924,185121.452999999,3.991,0,2018-02-01 10:37:00,40.8413,-70.8868,5,"NESLTER_transect/D20180201T103729_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T103729_IFCB102.html","mix elongated","Bacillariophyceae","urn:lsid:marinespecies.org:taxname:148899","Bacillariophyceae",2,28.547,3.991,1,2018-02-01 10:37:00,40.8413,-70.8868,5,"NESLTER_transect/D20180201T103729_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T103729_IFCB102.html","other","NotApplicable","NotApplicable","NotApplicable",8,12962.745,3.991,0,2018-02-01 10:37:00,40.8413,-70.8868,5,"NESLTER_transect/D20180201T103729_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T103729_IFCB102.html","pennate","Bacillariophyceae","urn:lsid:marinespecies.org:taxname:148899","Bacillariophyceae",17,8833.792,3.991,1,2018-02-01 10:37:00,40.8413,-70.8868,5,"NESLTER_transect/D20180201T103729_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T110037_IFCB102.html","Bacillariophyceae","Bacillariophyceae","urn:lsid:marinespecies.org:taxname:148899","Bacillariophyceae",5,5862.511,4.041,1,2018-02-01 11:01:00,40.8155,-70.8831,5,"NESLTER_transect/D20180201T110037_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T110037_IFCB102.html","Cerataulina pelagica","Cerataulina pelagica","urn:lsid:marinespecies.org:taxname:149619","Bacillariophyceae",1,26916.749,4.041,1,2018-02-01 11:01:00,40.8155,-70.8831,5,"NESLTER_transect/D20180201T110037_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T110037_IFCB102.html","Ceratium","Ceratium","urn:lsid:marinespecies.org:taxname:109506","Dinoflagellata",1,107532.909,4.041,1,2018-02-01 11:01:00,40.8155,-70.8831,5,"NESLTER_transect/D20180201T110037_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T110037_IFCB102.html","Corethron hystrix","Corethron hystrix","urn:lsid:marinespecies.org:taxname:179596","Bacillariophyceae",1,2780.978,4.041,1,2018-02-01 11:01:00,40.8155,-70.8831,5,"NESLTER_transect/D20180201T110037_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T110037_IFCB102.html","Cylindrotheca","Cylindrotheca","urn:lsid:marinespecies.org:taxname:149003","Bacillariophyceae",13,664.953,4.041,1,2018-02-01 11:01:00,40.8155,-70.8831,5,"NESLTER_transect/D20180201T110037_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T110037_IFCB102.html","Dictyocha","Dictyocha","urn:lsid:marinespecies.org:taxname:157258","other than diatoms dinoflagellates or haptophytes",1,7639.075,4.041,1,2018-02-01 11:01:00,40.8155,-70.8831,5,"NESLTER_transect/D20180201T110037_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T110037_IFCB102.html","Dinophyceae","Dinophyceae","urn:lsid:marinespecies.org:taxname:19542","Dinoflagellata",19,22748.035,4.041,0,2018-02-01 11:01:00,40.8155,-70.8831,5,"NESLTER_transect/D20180201T110037_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T110037_IFCB102.html","Guinardia delicatula","Guinardia delicatula","urn:lsid:marinespecies.org:taxname:149112","Bacillariophyceae",16,456272.261,4.041,1,2018-02-01 11:01:00,40.8155,-70.8831,5,"NESLTER_transect/D20180201T110037_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T110037_IFCB102.html","Guinardia flaccida","Guinardia flaccida","urn:lsid:marinespecies.org:taxname:149132","Bacillariophyceae",1,143260.423,4.041,1,2018-02-01 11:01:00,40.8155,-70.8831,5,"NESLTER_transect/D20180201T110037_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T110037_IFCB102.html","Katodinium or Torodinium","Dinophyceae","urn:lsid:marinespecies.org:taxname:19542","Dinoflagellata",1,4259.217,4.041,1,2018-02-01 11:01:00,40.8155,-70.8831,5,"NESLTER_transect/D20180201T110037_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T110037_IFCB102.html","Leptocylindrus","Leptocylindrus","urn:lsid:marinespecies.org:taxname:149038","Bacillariophyceae",21,908.926,4.041,1,2018-02-01 11:01:00,40.8155,-70.8831,5,"NESLTER_transect/D20180201T110037_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T110037_IFCB102.html","Phaeocystis","Phaeocystis","urn:lsid:marinespecies.org:taxname:115088","Haptophyta",46,21425.364,4.041,1,2018-02-01 11:01:00,40.8155,-70.8831,5,"NESLTER_transect/D20180201T110037_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T110037_IFCB102.html","Pleurosigma","Pleurosigma","urn:lsid:marinespecies.org:taxname:149181","Bacillariophyceae",5,21143.718,4.041,1,2018-02-01 11:01:00,40.8155,-70.8831,5,"NESLTER_transect/D20180201T110037_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T110037_IFCB102.html","Proterythropsis","Proterythropsis","urn:lsid:marinespecies.org:taxname:231794","Dinoflagellata",1,2461.592,4.041,1,2018-02-01 11:01:00,40.8155,-70.8831,5,"NESLTER_transect/D20180201T110037_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T110037_IFCB102.html","Pseudo-nitzschia","Pseudo-nitzschia","urn:lsid:marinespecies.org:taxname:149151","Bacillariophyceae",22,52660.449,4.041,1,2018-02-01 11:01:00,40.8155,-70.8831,5,"NESLTER_transect/D20180201T110037_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T110037_IFCB102.html","Rhizosolenia","Rhizosolenia","urn:lsid:marinespecies.org:taxname:149069","Bacillariophyceae",71,494502.698,4.041,1,2018-02-01 11:01:00,40.8155,-70.8831,5,"NESLTER_transect/D20180201T110037_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T110037_IFCB102.html","Skeletonema","Skeletonema","urn:lsid:marinespecies.org:taxname:149073","Bacillariophyceae",7,4169.154,4.041,1,2018-02-01 11:01:00,40.8155,-70.8831,5,"NESLTER_transect/D20180201T110037_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T110037_IFCB102.html","Thalassionema","Thalassionema","urn:lsid:marinespecies.org:taxname:149092","Bacillariophyceae",1,7841.948,4.041,1,2018-02-01 11:01:00,40.8155,-70.8831,5,"NESLTER_transect/D20180201T110037_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T110037_IFCB102.html","Thalassiosira","Thalassiosira","urn:lsid:marinespecies.org:taxname:148912","Bacillariophyceae",27,233488.346,4.041,1,2018-02-01 11:01:00,40.8155,-70.8831,5,"NESLTER_transect/D20180201T110037_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T110037_IFCB102.html","bead","NotApplicable","NotApplicable","NotApplicable",58,25223.39,4.041,0,2018-02-01 11:01:00,40.8155,-70.8831,5,"NESLTER_transect/D20180201T110037_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T110037_IFCB102.html","cryptophyta","Cryptophyta","urn:lsid:marinespecies.org:taxname:17638","other than diatoms dinoflagellates or haptophytes",1,587.024,4.041,0,2018-02-01 11:01:00,40.8155,-70.8831,5,"NESLTER_transect/D20180201T110037_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T110037_IFCB102.html","detritus","NotApplicable","NotApplicable","NotApplicable",239,288198.554,4.041,0,2018-02-01 11:01:00,40.8155,-70.8831,5,"NESLTER_transect/D20180201T110037_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T110037_IFCB102.html","flagellate","Eukaryota","urn:lsid:algaebase.org:taxname:86701","other than diatoms dinoflagellates or haptophytes",1,318.363,4.041,0,2018-02-01 11:01:00,40.8155,-70.8831,5,"NESLTER_transect/D20180201T110037_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T110037_IFCB102.html","mix","Eukaryota","urn:lsid:algaebase.org:taxname:86701","other than diatoms dinoflagellates or haptophytes",1814,171898.678,4.041,0,2018-02-01 11:01:00,40.8155,-70.8831,5,"NESLTER_transect/D20180201T110037_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T110037_IFCB102.html","mix elongated","Bacillariophyceae","urn:lsid:marinespecies.org:taxname:148899","Bacillariophyceae",4,103.297,4.041,1,2018-02-01 11:01:00,40.8155,-70.8831,5,"NESLTER_transect/D20180201T110037_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T110037_IFCB102.html","other","NotApplicable","NotApplicable","NotApplicable",5,13510.8,4.041,0,2018-02-01 11:01:00,40.8155,-70.8831,5,"NESLTER_transect/D20180201T110037_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T110037_IFCB102.html","pennate","Bacillariophyceae","urn:lsid:marinespecies.org:taxname:148899","Bacillariophyceae",8,3542.437,4.041,1,2018-02-01 11:01:00,40.8155,-70.8831,5,"NESLTER_transect/D20180201T110037_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T112345_IFCB102.html","Bacillariophyceae","Bacillariophyceae","urn:lsid:marinespecies.org:taxname:148899","Bacillariophyceae",5,25014.455,4.022,1,2018-02-01 11:24:00,40.7681,-70.8797,5,"NESLTER_transect/D20180201T112345_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T112345_IFCB102.html","Calciosolenia brasiliensis","Calciosolenia brasiliensis","urn:lsid:marinespecies.org:taxname:555889","Haptophyta",2,1021.982,4.022,1,2018-02-01 11:24:00,40.7681,-70.8797,5,"NESLTER_transect/D20180201T112345_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T112345_IFCB102.html","Ceratium","Ceratium","urn:lsid:marinespecies.org:taxname:109506","Dinoflagellata",1,17027.052,4.022,1,2018-02-01 11:24:00,40.7681,-70.8797,5,"NESLTER_transect/D20180201T112345_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T112345_IFCB102.html","Chaetoceros","Chaetoceros","urn:lsid:marinespecies.org:taxname:148985","Bacillariophyceae",2,1323.647,4.022,1,2018-02-01 11:24:00,40.7681,-70.8797,5,"NESLTER_transect/D20180201T112345_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T112345_IFCB102.html","Corymbellus","Corymbellus","urn:lsid:marinespecies.org:taxname:162518","Haptophyta",1,6316.894,4.022,1,2018-02-01 11:24:00,40.7681,-70.8797,5,"NESLTER_transect/D20180201T112345_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T112345_IFCB102.html","Cylindrotheca","Cylindrotheca","urn:lsid:marinespecies.org:taxname:149003","Bacillariophyceae",16,862.627,4.022,1,2018-02-01 11:24:00,40.7681,-70.8797,5,"NESLTER_transect/D20180201T112345_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T112345_IFCB102.html","Dictyocha","Dictyocha","urn:lsid:marinespecies.org:taxname:157258","other than diatoms dinoflagellates or haptophytes",1,22617.905,4.022,1,2018-02-01 11:24:00,40.7681,-70.8797,5,"NESLTER_transect/D20180201T112345_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T112345_IFCB102.html","Dinophyceae","Dinophyceae","urn:lsid:marinespecies.org:taxname:19542","Dinoflagellata",17,18614.345,4.022,0,2018-02-01 11:24:00,40.7681,-70.8797,5,"NESLTER_transect/D20180201T112345_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T112345_IFCB102.html","Ditylum brightwellii","Ditylum brightwellii","urn:lsid:marinespecies.org:taxname:149023","Bacillariophyceae",10,402653.269,4.022,1,2018-02-01 11:24:00,40.7681,-70.8797,5,"NESLTER_transect/D20180201T112345_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T112345_IFCB102.html","Guinardia delicatula","Guinardia delicatula","urn:lsid:marinespecies.org:taxname:149112","Bacillariophyceae",13,448717.561,4.022,1,2018-02-01 11:24:00,40.7681,-70.8797,5,"NESLTER_transect/D20180201T112345_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T112345_IFCB102.html","Guinardia flaccida","Guinardia flaccida","urn:lsid:marinespecies.org:taxname:149132","Bacillariophyceae",1,81468.657,4.022,1,2018-02-01 11:24:00,40.7681,-70.8797,5,"NESLTER_transect/D20180201T112345_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T112345_IFCB102.html","Guinardia striata","Guinardia striata","urn:lsid:marinespecies.org:taxname:149113","Bacillariophyceae",1,1389.784,4.022,1,2018-02-01 11:24:00,40.7681,-70.8797,5,"NESLTER_transect/D20180201T112345_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T112345_IFCB102.html","Leptocylindrus","Leptocylindrus","urn:lsid:marinespecies.org:taxname:149038","Bacillariophyceae",17,524.5,4.022,1,2018-02-01 11:24:00,40.7681,-70.8797,5,"NESLTER_transect/D20180201T112345_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T112345_IFCB102.html","Phaeocystis","Phaeocystis","urn:lsid:marinespecies.org:taxname:115088","Haptophyta",50,29965.679,4.022,1,2018-02-01 11:24:00,40.7681,-70.8797,5,"NESLTER_transect/D20180201T112345_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T112345_IFCB102.html","Pleurosigma","Pleurosigma","urn:lsid:marinespecies.org:taxname:149181","Bacillariophyceae",2,9955.022,4.022,1,2018-02-01 11:24:00,40.7681,-70.8797,5,"NESLTER_transect/D20180201T112345_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T112345_IFCB102.html","Prorocentrum","Prorocentrum","urn:lsid:marinespecies.org:taxname:109566","Dinoflagellata",1,29220.656,4.022,1,2018-02-01 11:24:00,40.7681,-70.8797,5,"NESLTER_transect/D20180201T112345_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T112345_IFCB102.html","Proterythropsis","Proterythropsis","urn:lsid:marinespecies.org:taxname:231794","Dinoflagellata",3,21776.25,4.022,1,2018-02-01 11:24:00,40.7681,-70.8797,5,"NESLTER_transect/D20180201T112345_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T112345_IFCB102.html","Pseudo-nitzschia","Pseudo-nitzschia","urn:lsid:marinespecies.org:taxname:149151","Bacillariophyceae",28,51768.914,4.022,1,2018-02-01 11:24:00,40.7681,-70.8797,5,"NESLTER_transect/D20180201T112345_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T112345_IFCB102.html","Pyramimonas","Pyramimonas","urn:lsid:marinespecies.org:taxname:134529","other than diatoms dinoflagellates or haptophytes",1,413.924,4.022,1,2018-02-01 11:24:00,40.7681,-70.8797,5,"NESLTER_transect/D20180201T112345_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T112345_IFCB102.html","Rhizosolenia","Rhizosolenia","urn:lsid:marinespecies.org:taxname:149069","Bacillariophyceae",62,350864.702,4.022,1,2018-02-01 11:24:00,40.7681,-70.8797,5,"NESLTER_transect/D20180201T112345_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T112345_IFCB102.html","Skeletonema","Skeletonema","urn:lsid:marinespecies.org:taxname:149073","Bacillariophyceae",1,51.28,4.022,1,2018-02-01 11:24:00,40.7681,-70.8797,5,"NESLTER_transect/D20180201T112345_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T112345_IFCB102.html","Thalassionema","Thalassionema","urn:lsid:marinespecies.org:taxname:149092","Bacillariophyceae",1,1122.365,4.022,1,2018-02-01 11:24:00,40.7681,-70.8797,5,"NESLTER_transect/D20180201T112345_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T112345_IFCB102.html","Thalassiosira","Thalassiosira","urn:lsid:marinespecies.org:taxname:148912","Bacillariophyceae",25,443601.016,4.022,1,2018-02-01 11:24:00,40.7681,-70.8797,5,"NESLTER_transect/D20180201T112345_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T112345_IFCB102.html","Tintinnida","Tintinnina","urn:lsid:marinespecies.org:taxname:732976","other than diatoms dinoflagellates or haptophytes",1,3960.125,4.022,0,2018-02-01 11:24:00,40.7681,-70.8797,5,"NESLTER_transect/D20180201T112345_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T112345_IFCB102.html","bead","NotApplicable","NotApplicable","NotApplicable",56,27294.772,4.022,0,2018-02-01 11:24:00,40.7681,-70.8797,5,"NESLTER_transect/D20180201T112345_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T112345_IFCB102.html","ciliate","Spirotrichea","urn:lsid:marinespecies.org:taxname:1348","other than diatoms dinoflagellates or haptophytes",1,2682.836,4.022,0,2018-02-01 11:24:00,40.7681,-70.8797,5,"NESLTER_transect/D20180201T112345_IFCB102"
"http://ifcb-data.whoi.edu/NESLTER_transect/D20180201T112345_IFCB102.html","cryptophyta","Cryptophyta","urn:lsid:marinespecies.org:taxname:17638","other than diatoms dinoflagellates or haptophytes",1,178.533,4.022,0,2018-02-01 11:24:00,40.7681,-70.8797,5,"NESLTER_transect/D20180201T112345_IFCB102"
